"Site
#",School,Date,Time,"Creek
Appearance","Weather  (past 48
hr)",Stage (m),"Discharge
(m3
s)",Other tests,"Sulfate
(mg
L)","Flow  (m
s)","Temp. (deg
C)","pH
Meter","TDS
(mg
L)","DO
(mg
L)","NO3-N
(mg
L)","P (mg
L)","Alk
(mg
L)","Turb
(JTU)","Fe
(mg
L)","WQI
value","Conductivity
(uS
cm)","pH
Test
Kit"
3,"Bradford Area
High School",2015-10-15,1:45:00,"low, leafy","clear day, rainy the
previous day",NA,NA,NA,NA,NA,16,7.55,205,10.5,0.0085,0,102,7.5,.,4.64,0,.
46,"Seneca High
School",2015-10-15,9:26:00,NA,NA,NA,NA,NA,NA,NA,9,7.45,160,6.5,0,0,136,10,.,7.85,.,.
80,"Fort LeBoeuf
Middle School",2015-10-16,7:35:00,Normal,"rain yesterday, clear
today",NA,NA,NA,NA,NA,17,7,300,7.5,0.1,0.0615,189.5,5,.,11.67,307,.
80,"Fort LeBoeuf
Middle School",2015-10-16,12:40:00,Normal,"rain yesterday, clear
today",NA,NA,NA,NA,NA,17.5,.,305,8,0.6,0,85,2.5,.,.,307,.
80,"Fort LeBoeuf
Middle School",2015-10-16,13:40:00,Normal,"rain yesterday, clear
today",NA,NA,NA,NA,NA,17.5,8.2,300,.,0.08,0,93.5,5,.,.,300.5,.
73,"Crawford
Central
Elementar",2015-10-20,9:45:00,Normal,"litttle snow and cold
sunday, clear and",NA,NA,NA,NA,NA,3.25,8.05,300,10.5,0.04,0.02,119,10,.,9.75,437.5,.
77,"Conneaut Area
Senior High",2015-10-20,11:10:00,"partly cloudy, dry","turbid, waves less
than 1ft",3.20,NA,NA,NA,NA,14.4,8.15,120,9.5,0.095,0.041,161.5,32.5,.,16.62,.,.
19,"Clymer Central
High School",2015-10-21,11:35:00,Sunny 64 degrees,clear low,NA,NA,NA,NA,NA,12,8,160,11.9,1.4,0.1,121,0,.,21.17,.,.
60,"Clymer Central
High School",2015-10-21,11:45:00,"clear dry sunny,
64 de",normal,NA,NA,NA,NA,NA,14,7.5,130,8.1,0,0.06,94,0,.,5.23,.,.
72,"Hermitage
Green Team",2015-10-21,15:00:00,"Sunny, temp in
the 70s","Clear with lots of
leaf cover",NA,NA,NA,NA,NA,15.5,7.8,.,9.5,0,19,0,5,.,.,870,.
82,"Hillview
Elementary
Grove",2015-10-27,8:53:00,"slow moving and
clear,",clear and cold,NA,NA,NA,NA,NA,10,9.05,215,10,.,.,85,5,.,.,.,.
46,"Seneca High
School",2015-11-05,9:23:00,NA,NA,NA,NA,NA,NA,NA,16,7.825,140,8.5,0,0,140.25,5,.,7.65,.,.
84,"Lakeview Middle
School",2015-11-10,14:00:00,"Steady flow,
slightly","Sunny, then front
passing through with
c",NA,NA,Relative Depth= 30cm,NA,NA,15,7.5,214.5,13,0.7,0.003,34,0,.,7.95,214,.
15,"Conneaut Lake
Middle Schol",2015-11-11,11:55:00,Fast; High,Rainy,NA,NA,NA,NA,NA,13,7.7,296,.,.,.,255,.,.,.,305,.
72,"Hermitage
Green Team",2015-11-12,15:00:00,NA,"Cloudy, cold and
rainy.",NA,NA,NA,NA,NA,14.5,8.05,515,13.5,10.5,0.028,68,10,.,112.37,746.5,.
73,"Crawford
Central Gifted
Pr",2015-11-17,9:45:00,"a little high, clear","Warm (50s &
60s)and Sunny",NA,NA,NA,NA,NA,0.5,6.95,.,12,0.075,0.0023,68,5,.,7.78,357.5,.
92,"Northwestern
High School",2015-11-17,10:15:00,"Good flow, clear,
low",No rain/snow,NA,NA,NA,NA,NA,.,7.8,120,11,0.03,.,51,.,.,.,171.3,.
60,"Clymer Central
High School",2015-11-18,10:30:00,"slightly cloudy, 54
F,",normal,NA,NA,NA,NA,NA,8,7.5,115,10.7,0,0.03,94,0,.,2.96,.,.
19,"Clymer Central
High School",2015-11-18,10:45:00,"rain last two days
war",normal level,NA,NA,NA,NA,NA,8,7.5,105,12,0,0,77,0,.,1.6,.,.
97,"Fort LeBoeuf
High School",2015-11-19,10:00:00,"Normal, darker in
colo","Windy and rainy
with some sun, very
warm",NA,NA,NA,NA,NA,17.5,7.75,180,11,0.3,0,117,0,.,7.3,272,.
97,"Fort LeBoeuf
High School",2015-11-19,12:00:00,"Normal, darker in
colo","Wind, rain,
unseasonably warm,
occasiona",NA,NA,NA,NA,NA,20.5,7.5,.,9.5,0.225,1,544,20.5,.,.,260.5,.
77,"Conneaut Area
Senior High",2015-11-24,11:15:00,"partly cloudy, dry","turbid, waves less
than 1ft",2.90,NA,NA,NA,NA,9.5,8.35,117.5,9.5,0.25,0.125,136,22.5,.,19.03,.,.
23,"Cochranton
High School",2015-11-25,8:50:00,"paper thin sheet
of ic","light flurries 48
hours ago, no
precipit",NA,NA,NA,NA,NA,2,8.2,215,13.5,0.12,0.0165,68,0,.,7.6,261.5,.
84,"Lakeview Middle
School",2015-12-02,1:30:00,"very clear, normal
flo","cold front passed
through, snow,
cloudy,",0.15,NA,NA,NA,NA,14,7.35,110,5.5,0.2,0,34,7.5,.,10.85,160.5,.
73,"Crawford
Central Gifted
Pr",2015-12-08,9:50:00,"High, fast, clerar",,NA,NA,NA,NA,NA,-4.5,7.95,.,11.5,0.09,0.05333,102,0,.,7.25,355.5,.
60,"Clymer Central
High School",2015-12-08,11:45:00,"overcast rain 48
degre",normal,NA,NA,NA,NA,NA,3,7.5,130,11.2,2.4,0.05,77,0,.,26.91,.,.
19,"Clymer Central
High School",2015-12-08,13:35:00,"warm and rain 48
degre","full stream not
flooded",NA,NA,NA,NA,NA,3,7.5,120,13.7,1.8,0.68,77,0,.,28.61,.,.
72,"Hermitage
Green Team",2015-12-10,15:00:00,NA,"Cloudy.
Temperatures in
mid 50s",NA,NA,NA,NA,NA,12,8.15,.,13,0,0,136,0,.,.,.,.
94,"Strong Vincent
High School",2015-12-14,9:30:00,low and clear,"warm and clear.  a
little rain",NA,NA,NA,NA,NA,18,8.15,740,11.5,0.135,0,204,7.5,.,10,1067,.
46,"Seneca HIgh
School",2015-12-16,9:17:00,NA,NA,NA,NA,NA,NA,NA,8.25,8.15,122.5,7.75,0,0,123.25,10,.,11.78,.,.
82,"Hillview
Elementary
Grove",2015-12-20,12:20:00,"clear, moving fast,
no","some light rain and
snow",NA,NA,NA,NA,NA,8,8.4,190,11,.,.,5,2,.,.,.,.
23,"Cochranton
High School",2015-12-22,8:40:00,"very murky - could
not","precipitation - very
heavy and constant",NA,NA,NA,NA,NA,6,7.9,175,11,0.2,0.023,51,145,.,36.85,193.5,.
84,"Lakeview Middle
School",2016-01-19,14:30:00,"very clear, icy,
fresh","cold front moved
through, colder than
av",NA,NA,Relative Depth= 10in,NA,NA,5.5,7.6,110,16,0,0.5,229.5,5,.,8.1,172.2,.
73,"Crawford
Central
Elementar",2016-01-21,9:45:00,"Iced over, quickly
flo",Snowing,NA,NA,NA,NA,NA,16,7.5,.,10.5,0.178,0.035,102,1.25,.,5.21,375.5,.
72,"Hermitage
Green Team",2016-01-21,15:00:00,Frozen,"Cold with snow
flurries",NA,NA,NA,NA,NA,5,8.05,860,15,4.1,24,.,25,.,.,1230.5,.
91,"East Elementary
School",2016-01-26,13:00:00,"Frozen on edges,
mostl","20-40 degrees in 48
hours",NA,NA,NA,NA,NA,8,.,.,.,2.7,.,42.5,.,.,.,.,.
23,"Cochranton
High School",2016-01-28,8:40:00,"clear.; significant
ic","above freezing 48
hours ago -
continued",NA,NA,NA,NA,NA,0,8.2,80,11,0.12,0.05,59.5,5,.,10.85,196.5,.
94,"Strong Vincent
High School",2016-01-28,9:40:00,"high velocity,
higher","very light snow, 20
degrees F",0.30,NA,NA,NA,NA,8,7.5,.,.,0.33,0,153,.,.,.,1755,.
94,"Strong Vincent
High School",2016-01-29,9:45:00,"creek clear, high
velo",snow,NA,NA,NA,NA,NA,9.5,6.55,.,9.5,0.27,.,127.5,0.5,.,.,.,.
97,"Fort LeBoeuf
High School",2016-02-08,10:00:00,NA,NA,NA,NA,NA,NA,NA,15.5,7.8,5.5,14.5,0.2,150,207,0,.,.,61.95,.
73,"Crawford
Central
Elementar",2016-02-18,9:50:00,"partially frozen,
norm","overcast, seasonal",NA,NA,NA,NA,NA,-5,7.7,255,9.5,0.3,0,102,2.5,.,8.45,378.5,.
72,"Hermitage
Green Team",2016-02-18,15:00:00,"Partialy frozen,
withi",Snowing,NA,NA,NA,NA,NA,15,8.15,1800,16,0.1,0,93.5,4,.,5.8,2535,.
84,"Lakeview Middle
School",2016-02-23,14:15:00,"clear, rapid
moving fr","unseasonably warm
days and cool
evenings",0.20,NA,NA,NA,NA,10,7.75,80,10,0.25,0,34,35,.,14.5,117.9,.
23,"Cochranton
High School",2016-02-29,8:40:00,"fast flowing.murky
(co","02-27-2016:  light
rain, very
windy.02-2",NA,NA,NA,NA,NA,4,7.75,135,11,0.12,0.015,51,22.5,.,10.22,109.7,.
91,"Hillview Grove
City",2016-03-01,9:30:00,"Deep, moving
about med","some light rain and
snow",NA,NA,NA,NA,NA,4,9.35,75,13.5,.,.,3.5,2,.,.,.,.
82,"Hillview
Elementary
Grove",2016-03-01,12:20:00,"clear, moving
quickly,","some light rain and
snow",NA,NA,NA,NA,NA,6.5,8.5,120,11.5,.,.,3.5,1,.,.,109.7,.
84,"Lakeview Middle
School",2016-03-09,14:15:00,"low, clear,","unseasonably warm,
windy,",NA,NA,NA,NA,NA,17.5,7.8,.,5,0.07,.,41,7.5,.,.,169.5,.
46,"Seneca High
School",2016-04-21,9:20:00,NA,NA,NA,NA,NA,NA,NA,21,8.25,117.5,10,0,0.01,110.5,5,.,10.15,.,.
46,"Seneca High
School",2016-05-03,14:00:00,N/A,"rained the previous
day",N/A,NA,NA,NA,N/A,12.5,8.425,107.5,10.25,0,0.019925,131.75,10,.,.,.,.
46,"Seneca High
School",2016-05-03,14:00:00,N/A,"rained the previous
day",N/A,N/A,N/A,,NA,12.5,8.425,107.5,10.25,0,0.019925,131.75,10,.,12.52,.,.
1,Maplewood,2016-05-06,9:50:00,"Little elevate flow,
t",Rain and Sun,,,,,,9.78,7.1,75.5,8,0.02,0.5,34,30,.,21.3,.,.
1,Maplewood,2016-06-01,11:30:00,Clear,Sunny,NA,NA,NA,,NA,14.5,7.4,65,9,.,.,.,0,.,.,.,.
1,Maplewood,2016-06-03,9:45:00,Low,Rain/sun,NA,NA,NA,,NA,18.17,7.1,90,8,0.05,0.2,40.8,0,.,11.1,.,.
84,"Lakeview Middle
School",2016-09-07,14:15:00,"low, above
average flo","Hot, High Dew Point",N/A,N/A,N/A,,N/A,21,.,303,6,0.125,0,34,6.25,.,.,303,.
73,"Crawford
Central
Elementar",2016-09-20,9:15:00,High and fast,"rain just over 48
hours ago.  warm
and s",N/A,N/A,N/A,,NA,6.5,7.9,.,7.5,0,0.177,.,3.75,.,11.36,175.35,.
97,"Fort Leboeuf
High School",2016-09-22,9:59:00,low flow rate,N/A,N/A,N/A,N/A,,NA,21,8.2,.,10,0.025,0.06,170,1.5,.,10.05,317,.
25,Learning Center,2016-09-23,14:00:00,"Slow in some
places fa",Sunny,N/A,N/A,N/A,,NA,27.5,7.6,.,6.5,0.3,.,110.5,12.5,.,.,223.5,.
80,"Fort LeBoeuf
Middle School",2016-09-25,8:30:00,N/A,rain/cold,N/A,N/A,sulfate: 75 mg/L,,N/A,16,7.9,180,10,0.03,0.01,110.5,7.5,.,8.15,184.6,.
82,"Hillview
Intermediate
Cent",2016-09-27,9:06:00,"Creek was
extremely lo","Some rain yesterday
but very little rain",N/A,N/A,N/A,,NA,14.5,7.55,.,9,0,0,153,7.5,.,5.6,213,.
77,"Conneaut Area
Senior High",2016-09-27,11:40:00,"somewhat turbid,
wave",Sunny and clear,7.50,NA,PTI = 21.9,,NA,21.45,8.6,110,7.5,0.08,0.046,144.5,15,.,18.04,.,.
64,"Titusville Middle
School",2016-09-27,13:00:00,"clear, normal",some rain,N/A,N/A,N/A,,N/A,17,8,160,7.5,0,0.1335,76.5,0,.,10.75,234,.
64,"Titusville Middle
School",2016-09-27,14:00:00,relativels normal,"Light showers
yesterday",N/A,N/A,N/A,,N/A,17,8.1,160,7.5,0.25,0,85,0,.,12.05,237,.
84,"Lakeview Middle
School",2016-10-03,14:15:00,"clear, normal flow
rat","Showers, cool,
overcast",0.12,N/A,N/A,,N/A,18,7.7,195,9,0,0.053,102,0,.,6.095,285.5,.
25,Learning Center,2016-10-07,12:30:00,"fast moving,
medium wa","Mostly clear, a bit
cloudy, no rain fall",N/A,N/A,N/A,,N/A,16.25,7.7,.,9,0,0.36,76.5,0,.,.,305,.
17,"Conneaut Lake
Middle Schoo",2016-10-12,10:55:00,"clear, moving
slowly","clear, cool, 63
degrees Fahrenheit,
rela",NA,NA,"Fe = .08 mg/L        Sulfate =
> 50 mg/L",,0.21,14.5,8,140,7,0.2,0.01665,373.5,0,.,11.35,283,.
73,"Crawford
Central
Elementar",2016-10-18,9:30:00,N/A,warmer than normal,N/A,N/A,N/A,,NA,5,8,275,3.5,0,0.0565,51,5,.,13.4,.,.
91,East Elementary,2016-10-18,13:00:00,clear,"very warm, 70
degree",N/A,N/A,N/A,,N/A,20,7.65,.,7.5,.,.,.,15,.,.,.,.
79,"Conneaut Area
Senior High",2016-10-18,13:37:00,"somewhat turbid,
low f","windy, mostly
cloudy, some
showers",2.80,0.50,PTI = 43.5,,0.18,20.35,8.15,200,7.5,0.145,0.02,144.5,5,.,12.7,.,.
72,"Hermitage
Green Team",2016-10-19,15:30:00,N/A,sunny and warm,N/A,N/A,N/A,,N/A,19.5,8.1,.,11,0.7,0,85.5,2.5,.,.,673,.
91,East Elementary,2016-10-20,13:00:00,N/A,N/A,N/A,N/A,N/A,,N/A,24,7.45,.,9,.,.,.,.,.,.,.,.
80,"Fort LeBoeuf
Middle School",2016-10-25,8:40:00,N/A,N/A,N/A,N/A,Sulfates = 75 mg/L,,N/A,16,7.9,180,10,0.03,0.01,110.5,7.5,.,8.15,182.65,.
80,"Fort LeBoeuf
Middle School",2016-10-25,12:20:00,N/A,N/A,N/A,N/A,,,N/A,15.5,7.55,.,.,1,113,.,5,.,.,215,.
80,"Fort LeBoeuf
Middle School",2016-10-25,12:55:00,N/A,N/A,N/A,N/A,Sulfate = 70 mg/L,,N/A,16,7.4,.,11,1,13.3,68,7.5,.,214.1,195.5,.
98,Homeschoolers,2016-11-02,12:00:00,slightly cloudy,"Major rain over the
weekend but clear 2",N/A,N/A,N/A,,NA,17,7.65,370,10.5,0.03,0,119,7.5,.,5.65,537.5,.
97,"Fort LeBoeuf
High School",2016-11-08,11:45:00,N/A,clear and warm,N/A,N/A,N/A,,NA,16.5,7.95,145,13,0.075,0.395,127.5,40,.,19.18,314.5,.
72,"Hermitage
Green Team",2016-11-08,15:00:00,N/A,"slight rain and
colder",N/A,N/A,N/A,,N/A,13.5,7.85,.,11.5,0,5,136,15,.,.,485,.
25,Learning Center,2016-11-11,13:00:00,N/A,N/A,N/A,N/A,N/A,,N/A,9.5,7.95,.,11,0,0.02,93.5,10,.,8.2,.,.
84,"Lakeview Middle
School",2016-11-14,14:15:00,"Clear, somewhat
higher","Sunny, cooler
temperatures, frost",N/A,N/A,N/A,,N/A,9,8,170,13.5,0.35,.,17,10,.,.,257,.
78,"Conneaut Area
Senior High",2016-11-15,1:48:00,"somewhat turbid,
low f",Sunny& Clear,1.20,0.01,PTI = 43,,0.01,11.55,8.3,205,9.5,0.1,0.0495,110.5,5,.,12.49,.,.
73,"Crawford
Central
Elementar",2016-11-15,9:20:00,"More leaves in
stream,",N/A,N/A,N/A,N/A,,NA,10,8.15,210,13,2,0,136,0,.,26.1,.,.
64,"Titusville Middle
School",2016-11-15,14:00:00,"Little foamy,
normal h","Cold, mid 40*-50*",N/A,N/A,N/A,,N/A,9.5,6.9,.,9.5,0.015,0,68,0,.,8.3,185.5,.
1,"Maplewood
Jr/Sr High
Schoo",2016-11-18,9:00:00,Clear,Clear,N/A,N/A,"Total hardness=85.5 mg/L
Calcium hardness=68.4",,N/A,9,8,90,9,0,0.026,27.2,.,.,.,.,.
1,"Maplewood
Jr/Sr High
Schoo",2016-11-18,14:00:00,Clear,Clear,N/A,N/A,"Total hardness. 68.4 mg/L
Calcium hardness 51.",,N/A,10,8,80,.,0,0.02,27.2,.,.,.,.,.
80,"Fort LeBoeuf
Middle School",2016-11-22,9:00:00,N/A,N/A,N/A,N/A,Sulfates= 50 mg/L,,N/A,0.75,8,230,12,0.08,0.0265,93.5,20,.,10.8,222,.
1,"Maplewood
Jr/Sr High
Schoo",2016-12-05,9:00:00,Clear,"Rain/snow mix and
windy in mid 30's",N/A,N/A,"Total hardness 68.4
Calcium hardness 51.3
Magn",,N/A,6,8.2,60,8,0.025,0.33,27.2,0,.,15.2,.,.
1,"Maplewood
Jr/Sr High
Schoo",2016-12-05,14:00:00,Clear,"Snow/rain mix and
windy",N/A,N/A,"Total hardness 68.4
Calcium hardness 51.3
Magn",,N/A,5,8.2,50,11,0,0.05,27.2,5,.,9.65,.,.
73,"Crawford
Central
Elementar",2016-12-13,9:18:00,Little bit of ice,"snowing, cold",N/A,N/A,N/A,,N/A,8,8.1,280,13.5,0.095,0.0765,68,5,.,8.45,408.5,.
80,"Fort LeBoeuf
Middle School",2016-12-13,12:37:00,"The velocity was
norma","Cold and Snowy,
below freezing most
of t",N/A,N/A,Sulfates = 100 mg/l,,N/A,0.75,7.2,196.35,8,0.13,0.025,127.5,0,.,8.48,180,.
84,"Lakeview Middle
School",2016-12-19,9:30:00,"clear, ice around
edge","temperature has
fluctuated greatly,
heav",0.16,N/A,N/A,,N/A,0,7.55,80,13,2.5,0,119,5,.,27.3,122,.
72,"Hermitage
Green Team",2017-01-11,15:00:00,"high level, murky,
qui",rainy,N/A,N/A,N/A,,N/A,11,7.75,.,15.5,0.81,.,68,40,.,.,1110,.
73,"Crawford
Central
Elementar",2017-01-18,9:15:00,"Higher level than
norm","Rain, cool but not
cold",N/A,N/A,N/A,,N/A,10.5,7.95,.,11.5,0.25,.,51,7.5,.,.,205,.
1,"Maplewood
Jr/Sr High
Schoo",2017-01-19,2:30:00,Clear,Clear,N/A,N/A,"Total hardness 51.3 mg/L
Calcium hardness 51.3",,N/A,3,8.4,30,11,0.08,0.02,68,.,.,.,55,.
1,"Maplewood
Jr/Sr High
Schoo",2017-01-19,8:00:00,Clear,Clear,N/A,N/A,"Total hardness 85.5mg/L
Calcium hardness 51.3",,N/A,2.5,6.5,30,9,0,0,51,1,.,11.9,53.5,.
80,"Fort LeBoeuf
Middle School",2017-01-19,9:17:00,"running quickly
due to","rainy, cloudy",N/A,N/A,N/A,,N/A,12,7.55,.,15,0.175,0.02,85,20,.,5.95,171,.
80,"Fort LeBoeuf
Middle School",2017-01-19,12:25:00,"running quickly
due to","rainy, cloudy",N/A,N/A,Sulfate: A=0 B=0,,N/A,10,7.35,165,11.5,1.25,0.047,76.5,12.5,.,18.86,165.5,.
80,"Fort LeBoeuf
Middle School",2017-01-19,13:31:00,"water moving very
quic","pretty rainy and wet
the past 48 hours",N/A,N/A,Sulfate: A=55 B=50,,N/A,14.25,7.25,.,6.5,1.7,0.017,68,15,.,27.71,211.7,.
25,Learning Center,2017-01-21,13:00:00,"Clear, high water
leve",Cold and Rainy,NA,N/A,N/A,,N/A,5,.,.,18,5,0,51,2.5,.,.,237.5,.
84,"Lakeview Middle
School",2017-01-23,14:30:00,"Higher and faster
than","Unseasonably
warm, rain, cloudy",N/A,N/A,N/A,,NA,13,7.05,90,10,0.07,0.033,68,10,.,9.8,144.6,.
94,"Strong Vincent
High School",2017-01-26,13:15:00,"quick-moving;
muddy; h","rainy, sleet, cloudy,
cold",N/A,N/A,N/A,,N/A,18.75,8.25,375,1.5,0.3,0.023,148,32.5,.,24.795,924,.
25,Learning Center,2017-02-03,13:00:00,"Cloudy, snowy,
and col","It has been snowing
on and off. There is",NA,N/A,N/A,,N/A,0.5,.,150,13.5,0.6,0,170,1.5,.,.,397.5,.
72,"Hermitage
Green Team",2017-02-08,15:00:00,"Clear in spite of
rain",Rain,N/A,N/A,N/A,,N/A,12.5,7.55,.,12,1,0,374,22.5,.,16.5,84,.
73,"Crawford
Central
Elementar",2017-02-15,9:15:00,N/A,N/A,N/A,N/A,N/A,,N/A,9.75,7.45,373,11,.,0,170,7.5,.,.,.,.
80,"Fort LeBoeuf
Middle School",2017-02-23,8:30:00,"The water was
flowing",warm,N/A,N/A,"Sulfate.Sample A:55
Sample B:60   Average:5",,N/A,11.5,7.9,.,9.5,0.22,0.2,85,7.5,.,13.25,.,.
80,"Fort LeBoeuf
Middle School",2017-02-23,12:17:00,"Fast moving
water, tre","Sunny and wet
ground. Rainy for
past few",N/A,N/A,sulphate 0 0,,N/A,12.5,8.45,207.8,10,0.2,0.03,212.5,20,.,17.05,215,.
80,"Fort LeBoeuf
Middle School",2017-02-23,13:42:00,muddy,"warm, partly cloudy",N/A,N/A,sulphate 0 0,,N/A,13.75,7.35,210,11,0.215,0.026,76.5,0.625,.,6.17,217.5,.
26,Learning Center,2017-02-24,13:00:00,"Clear water
average de","Sunny and windy
cool",NA,N/A,N/A,,N/A,11,7.75,185,10.5,5.5,3,75.5,5,.,105.65,84,.
84,"Lakeview Middle
School",2017-02-27,14:15:00,"Low, clear, slow
movin","Seasonal, some
snow flurries, windy,
coo",N/A,N/A,N/A,,NA,12,7.75,100,12.5,0,0.04,187,5,.,4.85,145.65,.
80,"Fort LeBoeuf
Middle School",2017-03-02,9:11:00,"Slow to no
movement. M","Rainy, 4 seasons in
4 days, snowed last",N/A,N/A,N/A,,N/A,10.75,7.75,.,12.5,0.03,0,107,10,.,5.55,84,.
73,"Crawford
Central
Elementar",2017-03-08,9:10:00,"Very high, fast
and tu","sunny, seasonable,
rain",N/A,N/A,N/A,,N/A,13.5,8,120,18,0.34,0.0835,68,35,.,13.05,188.25,.
84,"Lakeview Middle
School",2017-03-13,14:00:00,"Clear, lower than
usua","Cooler than
average, cloudy",N/A,N/A,N/A,,N/A,3.5,7.35,100,9.5,0.15,0.2,34,5,.,10.05,152.5,.
82,"Hillview
Intermediate
Cent",2017-03-28,12:00:00,"fast moving,
muddy, mu","Significant amount
of rain",N/A,N/A,N/A,,N/A,11.5,8.45,210,11,.,.,102,5,.,.,.,.
80,"Fort LeBoeuf
Middle School",2017-03-30,12:39:00,"Lower than usual,
slow",Light Rain all day,N/A,N/A,Sulfates: A:0 B:0 Average: 0,,N/A,14,7.85,335,10,0.3,0.0633,59.5,7.5,.,11.25,344,.
80,"Fort LeBoeuf
Middle School",2017-03-30,13:28:00,"Level was low but
movi",Cloudy and Rainy,N/A,N/A,"Sulfate Sample A: 45
Sample B: 30 Average: 37.",,N/A,18.5,7.85,.,6.5,0.22,0.1765,110.5,5,.,14.1,289,.
84,"Lakeview Middle
School",2017-04-10,14:15:00,"Warm, sunny,
windy",Clear,N/A,N/A,N/A,,N/A,17,.,100,10,0.1,0.03,51,5,.,.,152.1,.
72,"Hermitage
Green Team",2017-04-11,10:00:00,Cloudy,Rain in the morning,N/A,N/A,N/A,,N/A,13.5,7.75,.,14,0.45,0,154,27.5,.,12.2,1148,.
73,"Crawford
Central
Elementar",2017-04-12,.,"Lower than
normal, col",N/A,N/A,N/A,N/A,,N/A,15.5,8.3,248,15.5,0,0.023,76.5,0,.,.,252.5,.
82,"Hillview
Intermediate
Cent",2017-04-18,9:00:00,"Mid height, good
flow,",Clear and Warmer,N/A,N/A,N/A,,N/A,13,8.1,235,8.5,.,.,110.5,0,.,.,.,.
80,"Fort LeBoeuf
Middle School",2017-05-11,12:35:00,Slow,very rainy & wet,N/A,N/A,pH by new kit = 7,,N/A,15,7.75,177,11,0.22,0.045,119,10,.,9.18,.,.
82,"Hillview
Intermediate
Cent",2017-05-23,9:30:00,"fast moving,
higher th",rain this weekend,N/A,N/A,"awesome kicknet day...lots
of crayfish, fish,",,N/A,15.5,8,165,9.5,.,.,85,5,.,.,.,.
1,"Maplewood
Jr/Sr High
Schoo",2017-06-09,9:30:00,clear,"Light rain then clear
and sunny",0.20,N/A,NA,,N/A,13.5,7.75,45,.,.,.,.,.,.,.,.,.
1,"Maplewood
High School",2017-09-21,12:20:00,clear,"clear skies, warm",NA,NA,NA,,NA,21,7.6,80,.,.,.,.,.,.,.,179,.
59,"Union City High
School",2017-09-25,10:00:00,"clear, running, low","hot, sunny",1,NA,PTI score: 77,,NA,22,8,200,10,0.1,0.3,187,0,.,11.97,434.5,8
7,"Crawford
Central School
Di",2017-09-25,12:45:00,"clear, low, normal
vel",hot and sunny,NA,NA,NA,,NA,25,7.5,230,9,0,0,161.5,0,.,4.4,327.5,7.8
90,"Beaty-Warren
Middle School",2017-09-26,9:40:00,Shallow and Clear,"Sunny and Very
Warm",NA,NA,NA,,NA,21,7.5,.,7.5,.,0.1,.,5,.,.,.,7.5
90,"Beaty-Warren
Middle School",2017-09-26,10:43:00,Low and Clear,Warm and Sunny,NA,NA,NA,,NA,21,7.8,.,3,0,0,.,5,.,11.75,.,.
73,"Crawford
Central School
Di",2017-09-26,11:50:00,"really low, clear",hot and dry,NA,NA,NA,,NA,24,8.3,355,9,0,0,170,5,.,11.2,230,.
90,"Beaty-Warren
Middle School",2017-09-26,12:18:00,Low and Clear,Warm and Sunny,NA,NA,NA,,NA,23,7.2,.,8.5,0,0,.,5,.,7.9,375.5,8
90,"Beaty-Warren
Middle School",2017-09-26,13:21:00,Low and Clear,Warm and Sunny,NA,NA,NA,,NA,.,8.1,.,10.5,.,.,.,5,.,.,.,7.5
77,"Conneaut Area
High School",2017-09-26,13:45:00,turbid,"hot, sunny, dry",NA,NA,NA,,NA,28.7,8.6,105,10,0.1,0,127.5,42.5,.,20.98,.,.
46,"Seneca High
School",2017-09-27,.,"slightly deeper
and mu","rain on and off,
colder",NA,NA,NA,,NA,18.8,7.7,120,7.5,0,0,68,7.5,.,7.8,.,.
82,"Hillview
Intermediate
Cent",2017-09-27,9:00:00,"very low, very
slow mo","no rain in the last 2
weeks, very dry",NA,NA,NA,,NA,20,8.2,360,6,.,.,110.5,5,.,.,.,.
84,"Lakeview
School District
G",2017-09-29,14:00:00,"lots of vegetation
alo","warm weather that
just recently turned
c",NA,NA,NA,,NA,20,.,200,7.5,0,0,42.5,0,.,.,.,.
84,"Lakeview
School District
G",2017-10-11,14:15:00,,"sunny, front moved
through rainy, cooler",NA,NA,NA,,NA,27.9,.,.,8,0.2,.,51,27.5,.,.,.,.
91,East Elementary,2017-10-12,10:00:00,Muddy,Rain,NA,NA,NA,,NA,18,7.6,85,5,0,0,144.5,40,.,15.3,.,.
15,"Conneaut Lake
Middle Schoo",2017-10-18,13:05:00,"very clear, low","clear and cool
(about 45F at night)",NA,NA,NA,,NA,17,7.1,225,7.5,0,0,34,0,.,8.05,317,7.8
73,"Crawford
Central School
Di",2017-10-24,11:45:00,"more water and
flowing",rainy,NA,NA,NA,,NA,17,7.8,260,11.5,0,0,144.5,4,.,4.75,.,8
82,"Hillview
Intermediate
Cent",2017-10-25,8:43:00,"moving quickly,
lower","rain over the
weekend, colder
than norma",N/A,N/A,N/A,,N/A,10,8.65,210,11,.,.,68,5,.,.,.,.
23,"Cochranton
Jr./Sr. High Sc",2017-10-25,8:50:00,"slightly deeper
than u","raining on and off,
windy, temps. rangin",NA,NA,NA,,NA,15.5,8,120,8.5,0.2,6,85,0,.,99.75,286.5,8
80,"Fort LeBoeuf
Middle School",2017-10-27,7:00:00,N/A,NA,NA,NA,NA,,NA,20,.,.,10.5,0,0,229.5,0,.,.,465,7.3
80,"Fort LeBoeuf
Middle School",2017-10-27,13:40:00,N/A,NA,NA,NA,NA,,NA,20,.,.,10.5,0,0.1,161.5,0,.,.,.,7.8
